Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Post-demographic dividend,PST,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.42143469752400E+01,7.17589759108081E+01,7.03080139939031E+01,8.00731790707239E+01,8.74520270691149E+01,8.76641511279912E+01,9.03647231823524E+01,9.31182086549730E+01,9.33540395012263E+01,9.35951384276917E+01,9.18509887602583E+01,
Pre-demographic dividend,PRE,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84142037798046E-01,6.73138610963645E-01,,1.22848612786892E+00,1.51693896365498E+00,2.26593685442144E+00,2.62762060383594E+00,3.17814325656578E+00,3.83447134965175E+00,4.22918699786399E+00,
Small states,SST,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84443893433242E+01,1.80569691260743E+01,1.89372445225829E+01,2.74552891928072E+01,2.93094767427100E+01,3.11056526012283E+01,3.01982042073496E+01,2.82615568880041E+01,2.88936268453177E+01,2.96373654991258E+01,4.08431763192393E+01,
South Asia,SAS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24928003272672E-01,6.71116931333846E-01,1.09426668240329E+00,2.68962447248400E+00,3.37256028333721E+00,3.89139727117966E+00,4.28131865763824E+00,6.05657452808483E+00,6.59914111988075E+00,7.29301811557692E+00,9.05615605568607E+00,
South Asia (IDA & IBRD),TSA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24928003272672E-01,6.71116931333846E-01,1.09426668240329E+00,2.68962447248400E+00,3.37256028333721E+00,3.89139727117966E+00,4.28131865763824E+00,6.05657452808483E+00,6.59914111988075E+00,7.29301811557692E+00,9.05615605568607E+00,
Sub-Saharan Africa,SSF,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19727642881595E-01,1.02496304275064E+00,1.76885998072173E+00,2.47538135567125E+00,2.52599869257160E+00,3.25536775133599E+00,3.11084788538157E+00,3.59480191335964E+00,4.28927914323416E+00,4.71127405215871E+00,5.29657331905054E+00,
Sub-Saharan Africa (excluding high income),SSA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19727642881595E-01,1.02496304275064E+00,1.76885998072173E+00,2.47538135567125E+00,2.52599869257160E+00,3.25536775133599E+00,3.11084788538157E+00,3.59480191335964E+00,4.28927914323416E+00,4.71127405215871E+00,5.29657331905054E+00,
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19727642881595E-01,1.02496304275064E+00,1.76885998072173E+00,2.47538135567125E+00,2.52599869257160E+00,3.25536775133599E+00,3.11084788538157E+00,3.59480191335964E+00,4.28927914323416E+00,4.71127405215871E+00,5.29657331905054E+00,
Upper middle income,UMC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83498371973819E+01,2.02649203900552E+01,1.96073588256714E+01,2.57256311799301E+01,2.93356972908538E+01,3.53808205939066E+01,3.77015907431473E+01,4.07611667836688E+01,4.27208269701171E+01,4.45464325502864E+01,5.19079874636169E+01,
World,WLD,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84443893433242E+01,1.58490178620935E+01,1.89311827823868E+01,2.53027447799303E+01,2.66083047277311E+01,2.84154296728431E+01,2.89018130610793E+01,2.99539814517316E+01,3.34894130628978E+01,3.63519481785587E+01,4.39728757191119E+01,
Afghanistan,AFG,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64458930976085E-02,6.34815127680095E-02,1.23074062429503E-01,2.16865782637517E-01,3.12924311764219E-01,4.66727634811487E-01,5.48108438222308E-01,6.41864912444168E-01,6.69510482758135E-01,7.48128911196485E-01,8.02081543148272E-01,
Albania,ALB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22821344745106E+00,9.26511379014415E+00,1.39074334877498E+01,1.94418356832413E+01,2.87708939358765E+01,3.31152798507695E+01,3.42966011183072E+01,3.55640025567809E+01,3.60675484772021E+01,3.57443542281985E+01,3.50252636722696E+01,
Algeria,DZA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23297582613041E+00,1.46143846553336E+00,2.31700149149792E+00,3.60591632596328E+00,4.06890753432020E+00,5.15849993666493E+00,5.73832708368569E+00,5.90093265602621E+00,6.01134643729833E+00,6.32122680674788E+00,7.28824439244600E+00,
American Samoa,ASM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01805700266392E+00,1.73613158872759E+00,3.63732730323220E+00,5.28310242419358E+00,7.51002160870316E+00,1.00824624965332E+01,1.26331060856822E+01,1.54382140154185E+01,1.84537942620437E+01,2.07054086093515E+01,2.29675676476482E+01,
