Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
South Asia,SAS,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54000000000000E+00,3.54000000000000E+00,3.54000000000000E+00,3.54000000000000E+00,3.54000000000000E+00,3.54000000000000E+00,3.54000000000000E+00,4.82000000000000E+00,6.24000000000000E+00,5.23750000000000E+00,3.18750000000000E+00,2.96250000000000E+00
South Asia (IDA & IBRD),TSA,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54000000000000E+00,3.54000000000000E+00,3.54000000000000E+00,3.54000000000000E+00,3.54000000000000E+00,3.54000000000000E+00,3.54000000000000E+00,4.82000000000000E+00,6.24000000000000E+00,5.23750000000000E+00,3.18750000000000E+00,2.96250000000000E+00
Sub-Saharan Africa,SSF,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38888888888889E-01,9.81818181818182E-01,1.26666666666667E+00,1.33777777777778E+00,1.79333333333333E+00,2.17777777777778E+00,2.82222222222222E+00,3.05333333333333E+00,3.96956521739130E+00,4.14468085106383E+00,4.33191489361702E+00,5.78723404255319E+00
Sub-Saharan Africa (excluding high income),SSA,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38888888888889E-01,1.00465116279070E+00,1.29545454545455E+00,1.36818181818182E+00,1.83409090909091E+00,2.22727272727273E+00,2.88636363636364E+00,3.12272727272727E+00,4.05777777777778E+00,4.23478260869565E+00,4.42608695652174E+00,4.88043478260870E+00
Sub-Saharan Africa (IDA & IBRD countries),TSS,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38888888888889E-01,9.81818181818182E-01,1.26666666666667E+00,1.33777777777778E+00,1.79333333333333E+00,2.17777777777778E+00,2.82222222222222E+00,3.05333333333333E+00,3.96956521739130E+00,4.14468085106383E+00,4.33191489361702E+00,5.78723404255319E+00
Upper middle income,UMC,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41891891891892E+00,3.89333333333333E+00,4.14565217391304E+00,5.26739130434783E+00,7.41956521739130E+00,9.86521739130435E+00,1.16326086956522E+01,1.23108695652174E+01,1.36744680851064E+01,1.52372549019608E+01,1.63019607843137E+01,1.83313725490196E+01
World,WLD,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33541666666667E+00,3.28466257668712E+00,3.89640718562874E+00,4.24176470588235E+00,5.21988304093567E+00,6.44011627906977E+00,7.14011627906977E+00,8.20747126436782E+00,8.98595505617978E+00,1.01650793650794E+01,1.04301587301587E+01,1.17952380952381E+01
Afghanistan,AFG,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.00000000000000E-01
Albania,ALB,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,6.80000000000000E+00,9.90000000000000E+00,1.23000000000000E+01,1.70000000000000E+01,1.97000000000000E+01,1.31000000000000E+01,1.67000000000000E+01,2.71000000000000E+01
Algeria,DZA,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,2.00000000000000E-01,2.00000000000000E-01,2.00000000000000E-01,2.00000000000000E-01,2.00000000000000E-01,3.00000000000000E-01,2.30000000000000E+00,2.40000000000000E+00,2.00000000000000E+00,1.90000000000000E+00
